Kdex,Ndex,Name,Type1,Type2,Link,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,Damaged Normally by,Weak to,Immue to,Resisant to
 #213, #198,Murkrow,Dark,Flying,https://bulbapedia.bulbagarden.net//wiki/Murkrow_(Pok%C3%A9mon),60,85,42,85,42,91,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Dragon_1×']","['Rock_2×', 'Electric_2×', 'Ice_2×', 'Fairy_2×']","['Ground_0×', 'Psychic_0×']","['Ghost_½×', 'Grass_½×', 'Dark_½×']"
 #082, #199,Slowking,Water,Psychic,https://bulbapedia.bulbagarden.net//wiki/Slowking_(Pok%C3%A9mon),95,75,80,100,110,30,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Dragon_1×', 'Fairy_1×']","['Bug_2×', 'Ghost_2×', 'Grass_2×', 'Electric_2×', 'Dark_2×']",['None'],"['Fighting_½×', 'Steel_½×', 'Fire_½×', 'Water_½×', 'Psychic_½×', 'Ice_½×']"
  , #199,Slowking,Poison,Psychic,https://bulbapedia.bulbagarden.net//wiki/Slowking_(Pok%C3%A9mon),95,75,80,100,110,30,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Dragon_1×', 'Fairy_1×']","['Bug_2×', 'Ghost_2×', 'Grass_2×', 'Electric_2×', 'Dark_2×']",['None'],"['Fighting_½×', 'Steel_½×', 'Fire_½×', 'Water_½×', 'Psychic_½×', 'Ice_½×']"
 #219, #200,Misdreavus,Ghost,Null,https://bulbapedia.bulbagarden.net//wiki/Misdreavus_(Pok%C3%A9mon),60,60,60,85,85,85,"['Flying_1×', 'Rock_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Fairy_1×']","['Ghost_2×', 'Dark_2×']","['Normal_0×', 'Fighting_0×', 'Ground_0×']","['Poison_½×', 'Bug_½×']"
 #061, #201,Unown,Psychic,Null,https://bulbapedia.bulbagarden.net//wiki/Unown_(Pok%C3%A9mon),48,72,48,72,48,48,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Rock_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Fairy_1×']","['Bug_2×', 'Ghost_2×', 'Dark_2×']",['Ground_0×'],"['Fighting_½×', 'Psychic_½×']"
 #108, #202,Wobbuffet,Psychic,Null,https://bulbapedia.bulbagarden.net//wiki/Wobbuffet_(Pok%C3%A9mon),190,33,58,33,58,33,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Fairy_1×']","['Bug_2×', 'Ghost_2×', 'Dark_2×']",['None'],"['Fighting_½×', 'Psychic_½×']"
 #149, #203,Girafarig,Normal,Psychic,https://bulbapedia.bulbagarden.net//wiki/Girafarig_(Pok%C3%A9mon),70,80,65,90,65,85,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×', 'Fairy_1×']","['Bug_2×', 'Dark_2×']",['Ghost_0×'],['Psychic_½×']
 #093, #204,Pineco,Bug,Null,https://bulbapedia.bulbagarden.net//wiki/Pineco_(Pok%C3%A9mon),50,65,90,35,35,15,"['Normal_1×', 'Poison_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_2×', 'Rock_2×', 'Fire_2×']",['None'],"['Fighting_½×', 'Ground_½×', 'Grass_½×']"
 #094, #205,Forretress,Bug,Steel,https://bulbapedia.bulbagarden.net//wiki/Forretress_(Pok%C3%A9mon),75,90,140,60,60,40,"['Fighting_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Ghost_1×', 'Water_1×', 'Electric_1×', 'Dark_1×']",['Fire_4×'],['Poison_0×'],"['Normal_½×', 'Bug_½×', 'Steel_½×', 'Grass_¼×', 'Psychic_½×', 'Ice_½×', 'Dragon_½×', 'Fairy_½×']"
 #052, #206,Dunsparce,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Dunsparce_(Pok%C3%A9mon),100,70,70,65,65,45,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #193, #207,Gligar,Ground,Flying,https://bulbapedia.bulbagarden.net//wiki/Gligar_(Pok%C3%A9mon),65,75,105,35,65,85,"['Normal_1×', 'Flying_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Grass_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Water_2×', 'Ice_4×']","['Ground_0×', 'Electric_0×']","['Fighting_½×', 'Poison_½×', 'Bug_½×']"
 #063, #208,Steelix,Steel,Ground,https://bulbapedia.bulbagarden.net//wiki/Steelix_(Pok%C3%A9mon),75,85,200,55,65,30,"['Ghost_1×', 'Grass_1×', 'Ice_1×', 'Dark_1×']","['Fighting_2×', 'Ground_2×', 'Fire_2×', 'Water_2×']","['Poison_0×', 'Electric_0×']","['Normal_½×', 'Flying_½×', 'Rock_¼×', 'Bug_½×', 'Steel_½×', 'Psychic_½×', 'Dragon_½×', 'Fairy_½×']"
 #125, #209,Snubbull,Fairy,Null,https://bulbapedia.bulbagarden.net//wiki/Snubbull_(Pok%C3%A9mon),60,80,50,40,40,30,"['Normal_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Fairy_1×']","['Poison_2×', 'Steel_2×']",['Dragon_0×'],"['Fighting_½×', 'Bug_½×', 'Dark_½×']"
 #126, #210,Granbull,Fairy,Null,https://bulbapedia.bulbagarden.net//wiki/Granbull_(Pok%C3%A9mon),90,120,75,60,60,45,"['Normal_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Fairy_1×']","['Poison_2×', 'Steel_2×']",['Dragon_0×'],"['Fighting_½×', 'Bug_½×', 'Dark_½×']"
 #163, #211,Qwilfish,Water,Poison,https://bulbapedia.bulbagarden.net//wiki/Qwilfish_(Pok%C3%A9mon),65,95,75,55,55,85,"['Normal_1×', 'Flying_1×', 'Rock_1×', 'Ghost_1×', 'Grass_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Electric_2×', 'Psychic_2×']",['None'],"['Fighting_½×', 'Poison_½×', 'Bug_½×', 'Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×', 'Fairy_½×']"
 #112, #212,Scizor,Bug,Steel,https://bulbapedia.bulbagarden.net//wiki/Scizor_(Pok%C3%A9mon),70,130,100,55,80,65,"['Fighting_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Ghost_1×', 'Water_1×', 'Electric_1×', 'Dark_1×']",['Fire_4×'],['Poison_0×'],"['Normal_½×', 'Bug_½×', 'Steel_½×', 'Grass_¼×', 'Psychic_½×', 'Ice_½×', 'Dragon_½×', 'Fairy_½×']"
 #168, #213,Shuckle,Bug,Rock,https://bulbapedia.bulbagarden.net//wiki/Shuckle_(Pok%C3%A9mon),20,10,230,10,230,5,"['Fighting_1×', 'Flying_1×', 'Ground_1×', 'Bug_1×', 'Ghost_1×', 'Fire_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_2×', 'Steel_2×', 'Water_2×']",['None'],"['Normal_½×', 'Poison_½×']"
 #114, #214,Heracross,Bug,Fighting,https://bulbapedia.bulbagarden.net//wiki/Heracross_(Pok%C3%A9mon),80,125,75,40,95,85,"['Normal_1×', 'Poison_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×']","['Flying_4×', 'Fire_2×', 'Psychic_2×', 'Fairy_2×']",['None'],"['Fighting_½×', 'Ground_½×', 'Bug_½×', 'Grass_½×', 'Dark_½×']"
 #218, #215,Sneasel,Dark,Ice,https://bulbapedia.bulbagarden.net//wiki/Sneasel_(Pok%C3%A9mon),55,95,55,35,75,115,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Dragon_1×']","['Fighting_4×', 'Rock_2×', 'Bug_2×', 'Steel_2×', 'Fire_2×', 'Fairy_2×']",['Psychic_0×'],"['Ghost_½×', 'Ice_½×', 'Dark_½×']"
 #198, #216,Teddiursa,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Teddiursa_(Pok%C3%A9mon),60,80,50,50,50,40,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #199, #217,Ursaring,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Ursaring_(Pok%C3%A9mon),90,130,75,75,75,55,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #216, #218,Slugma,Fire,Null,https://bulbapedia.bulbagarden.net//wiki/Slugma_(Pok%C3%A9mon),40,40,40,70,40,20,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Rock_2×', 'Water_2×']",['None'],"['Bug_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Fairy_½×']"
 #217, #219,Magcargo,Fire,Rock,https://bulbapedia.bulbagarden.net//wiki/Magcargo_(Pok%C3%A9mon),50,50,120,80,80,30,"['Ghost_1×', 'Steel_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Fighting_2×', 'Ground_4×', 'Rock_2×', 'Water_4×']",['None'],"['Normal_½×', 'Flying_½×', 'Poison_½×', 'Bug_½×', 'Fire_¼×', 'Ice_½×', 'Fairy_½×']"
 #195, #220,Swinub,Ice,Ground,https://bulbapedia.bulbagarden.net//wiki/Swinub_(Pok%C3%A9mon),50,50,40,30,30,50,"['Normal_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Steel_2×', 'Fire_2×', 'Water_2×', 'Grass_2×']",['Electric_0×'],['Poison_½×']
 #196, #221,Piloswine,Ice,Ground,https://bulbapedia.bulbagarden.net//wiki/Piloswine_(Pok%C3%A9mon),100,100,80,60,60,50,"['Normal_1×', 'Flying_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Steel_2×', 'Fire_2×', 'Water_2×', 'Grass_2×']",['Electric_0×'],['Poison_½×']
 #173, #222,Corsola,Water,Rock,https://bulbapedia.bulbagarden.net//wiki/Corsola_(Pok%C3%A9mon),55,55,85,65,85,35,"['Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Grass_4×', 'Electric_2×']",['None'],"['Normal_½×', 'Flying_½×', 'Poison_½×', 'Fire_¼×', 'Ice_½×']"
  , #222,Corsola,Ghost,Null,https://bulbapedia.bulbagarden.net//wiki/Corsola_(Pok%C3%A9mon),55,55,85,65,85,35,"['Rock_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Water_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Grass_4×', 'Electric_2×']",['None'],"['Normal_½×', 'Flying_½×', 'Poison_½×', 'Fire_¼×', 'Ice_½×']"
 #174, #223,Remoraid,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Remoraid_(Pok%C3%A9mon),35,65,35,65,35,65,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #175, #224,Octillery,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Octillery_(Pok%C3%A9mon),75,105,75,105,75,45,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #194, #225,Delibird,Ice,Flying,https://bulbapedia.bulbagarden.net//wiki/Delibird_(Pok%C3%A9mon),45,55,45,65,45,75,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Water_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_4×', 'Steel_2×', 'Fire_2×', 'Electric_2×']",['Ground_0×'],"['Bug_½×', 'Grass_½×']"
 #202, #226,Mantine,Water,Flying,https://bulbapedia.bulbagarden.net//wiki/Mantine_(Pok%C3%A9mon),65,40,70,80,140,70,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Grass_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Rock_2×', 'Electric_4×']",['Ground_0×'],"['Fighting_½×', 'Bug_½×', 'Steel_½×', 'Fire_½×', 'Water_½×']"
 #203, #227,Skarmory,Steel,Flying,https://bulbapedia.bulbagarden.net//wiki/Skarmory_(Pok%C3%A9mon),65,80,140,40,70,70,"['Fighting_1×', 'Rock_1×', 'Ghost_1×', 'Water_1×', 'Ice_1×', 'Dark_1×']","['Fire_2×', 'Electric_2×']","['Poison_0×', 'Ground_0×']","['Normal_½×', 'Flying_½×', 'Bug_¼×', 'Steel_½×', 'Grass_¼×', 'Psychic_½×', 'Dragon_½×', 'Fairy_½×']"
 #214, #228,Houndour,Dark,Fire,https://bulbapedia.bulbagarden.net//wiki/Houndour_(Pok%C3%A9mon),45,60,30,80,50,65,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Bug_1×', 'Electric_1×', 'Dragon_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Rock_2×', 'Water_2×']",['Psychic_0×'],"['Ghost_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Dark_½×']"
 #215, #229,Houndoom,Dark,Fire,https://bulbapedia.bulbagarden.net//wiki/Houndoom_(Pok%C3%A9mon),75,90,50,110,80,95,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Bug_1×', 'Electric_1×', 'Dragon_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Rock_2×', 'Water_2×']",['Psychic_0×'],"['Ghost_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Dark_½×']"
 #192, #230,Kingdra,Water,Dragon,https://bulbapedia.bulbagarden.net//wiki/Kingdra_(Pok%C3%A9mon),75,95,95,95,95,85,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dark_1×']","['Dragon_2×', 'Fairy_2×']",['None'],"['Steel_½×', 'Fire_¼×', 'Water_¼×']"
 #200, #231,Phanpy,Ground,Null,https://bulbapedia.bulbagarden.net//wiki/Phanpy_(Pok%C3%A9mon),90,60,60,40,40,40,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Ground_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Water_2×', 'Grass_2×', 'Ice_2×']",['Electric_0×'],"['Poison_½×', 'Rock_½×']"
 #201, #232,Donphan,Ground,Null,https://bulbapedia.bulbagarden.net//wiki/Donphan_(Pok%C3%A9mon),90,120,120,60,60,50,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Ground_1×', 'Bug_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Water_2×', 'Grass_2×', 'Ice_2×']",['Electric_0×'],"['Poison_½×', 'Rock_½×']"
 #221, #233,Porygon2,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Porygon2_(Pok%C3%A9mon),85,80,90,105,95,60,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #131, #234,Stantler,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Stantler_(Pok%C3%A9mon),73,95,62,85,65,85,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #159, #235,Smeargle,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Smeargle_(Pok%C3%A9mon),55,20,35,20,45,75,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #145, #236,Tyrogue,Fighting,Null,https://bulbapedia.bulbagarden.net//wiki/Tyrogue_(Pok%C3%A9mon),35,35,35,35,35,35,"['Normal_1×', 'Fighting_1×', 'Poison_1×', 'Ground_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×']","['Flying_2×', 'Psychic_2×', 'Fairy_2×']",['None'],"['Rock_½×', 'Bug_½×', 'Dark_½×']"
 #148, #237,Hitmontop,Fighting,Null,https://bulbapedia.bulbagarden.net//wiki/Hitmontop_(Pok%C3%A9mon),50,95,95,35,110,70,"['Normal_1×', 'Fighting_1×', 'Poison_1×', 'Ground_1×', 'Ghost_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×']","['Flying_2×', 'Psychic_2×', 'Fairy_2×']",['None'],"['Rock_½×', 'Bug_½×', 'Dark_½×']"
 #154, #238,Smoochum,Ice,Psychic,https://bulbapedia.bulbagarden.net//wiki/Smoochum_(Pok%C3%A9mon),45,30,15,85,65,65,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Dragon_1×', 'Fairy_1×']","['Rock_2×', 'Bug_2×', 'Ghost_2×', 'Steel_2×', 'Fire_2×', 'Dark_2×']",['None'],"['Psychic_½×', 'Ice_½×']"
 #156, #239,Elekid,Electric,Null,https://bulbapedia.bulbagarden.net//wiki/Elekid_(Pok%C3%A9mon),45,63,37,65,55,95,"['Normal_1×', 'Fighting_1×', 'Poison_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Ground_2×'],['None'],"['Flying_½×', 'Steel_½×', 'Electric_½×']"
 #152, #240,Magby,Fire,Null,https://bulbapedia.bulbagarden.net//wiki/Magby_(Pok%C3%A9mon),45,75,37,70,55,83,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Rock_2×', 'Water_2×']",['None'],"['Bug_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Fairy_½×']"
 #151, #241,Miltank,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Miltank_(Pok%C3%A9mon),95,80,105,40,70,100,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #223, #242,Blissey,Normal,Null,https://bulbapedia.bulbagarden.net//wiki/Blissey_(Pok%C3%A9mon),255,10,10,75,135,55,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Electric_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Fighting_2×'],['Ghost_0×'],['None']
 #243, #243,Raikou,Electric,Null,https://bulbapedia.bulbagarden.net//wiki/Raikou_(Pok%C3%A9mon),90,85,75,115,100,115,"['Normal_1×', 'Fighting_1×', 'Poison_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Fire_1×', 'Water_1×', 'Grass_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']",['Ground_2×'],['None'],"['Flying_½×', 'Steel_½×', 'Electric_½×']"
 #244, #244,Entei,Fire,Null,https://bulbapedia.bulbagarden.net//wiki/Entei_(Pok%C3%A9mon),115,115,85,90,75,100,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Electric_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×']","['Ground_2×', 'Rock_2×', 'Water_2×']",['None'],"['Bug_½×', 'Steel_½×', 'Fire_½×', 'Grass_½×', 'Ice_½×', 'Fairy_½×']"
 #245, #245,Suicune,Water,Null,https://bulbapedia.bulbagarden.net//wiki/Suicune_(Pok%C3%A9mon),100,75,115,90,115,85,"['Normal_1×', 'Fighting_1×', 'Flying_1×', 'Poison_1×', 'Ground_1×', 'Rock_1×', 'Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Grass_2×', 'Electric_2×']",['None'],"['Steel_½×', 'Fire_½×', 'Water_½×', 'Ice_½×']"
 #249, #246,Larvitar,Rock,Ground,https://bulbapedia.bulbagarden.net//wiki/Larvitar_(Pok%C3%A9mon),50,64,50,45,50,41,"['Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Steel_2×', 'Water_4×', 'Grass_4×', 'Ice_2×']",['Electric_0×'],"['Normal_½×', 'Flying_½×', 'Poison_¼×', 'Rock_½×', 'Fire_½×']"
 #250, #247,Pupitar,Rock,Ground,https://bulbapedia.bulbagarden.net//wiki/Pupitar_(Pok%C3%A9mon),70,84,70,65,70,51,"['Bug_1×', 'Ghost_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Fighting_2×', 'Ground_2×', 'Steel_2×', 'Water_4×', 'Grass_4×', 'Ice_2×']",['Electric_0×'],"['Normal_½×', 'Flying_½×', 'Poison_¼×', 'Rock_½×', 'Fire_½×']"
 #251, #248,Tyranitar,Rock,Dark,https://bulbapedia.bulbagarden.net//wiki/Tyranitar_(Pok%C3%A9mon),100,134,110,95,100,61,"['Rock_1×', 'Electric_1×', 'Ice_1×', 'Dragon_1×']","['Fighting_4×', 'Ground_2×', 'Bug_2×', 'Steel_2×', 'Water_2×', 'Grass_2×', 'Fairy_2×']",['Psychic_0×'],"['Normal_½×', 'Flying_½×', 'Poison_½×', 'Ghost_½×', 'Fire_½×', 'Dark_½×']"
 #252, #249,Lugia,Psychic,Flying,https://bulbapedia.bulbagarden.net//wiki/Lugia_(Pok%C3%A9mon),106,90,130,90,154,110,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Bug_1×', 'Steel_1×', 'Fire_1×', 'Water_1×', 'Dragon_1×', 'Fairy_1×']","['Rock_2×', 'Ghost_2×', 'Electric_2×', 'Ice_2×', 'Dark_2×']",['Ground_0×'],"['Fighting_¼×', 'Grass_½×', 'Psychic_½×']"
 #253, #250,Ho-Oh,Fire,Flying,https://bulbapedia.bulbagarden.net//wiki/Ho-Oh_(Pok%C3%A9mon),106,130,90,110,154,90,"['Normal_1×', 'Flying_1×', 'Poison_1×', 'Ghost_1×', 'Psychic_1×', 'Ice_1×', 'Dragon_1×', 'Dark_1×']","['Rock_4×', 'Water_2×', 'Electric_2×']",['Ground_0×'],"['Fighting_½×', 'Bug_¼×', 'Steel_½×', 'Fire_½×', 'Grass_¼×', 'Fairy_½×']"
 #256, #251,Celebi,Psychic,Grass,https://bulbapedia.bulbagarden.net//wiki/Celebi_(Pok%C3%A9mon),100,100,100,100,100,100,"['Normal_1×', 'Rock_1×', 'Steel_1×', 'Dragon_1×', 'Fairy_1×']","['Flying_2×', 'Poison_2×', 'Bug_4×', 'Ghost_2×', 'Fire_2×', 'Ice_2×', 'Dark_2×']",['None'],"['Fighting_½×', 'Ground_½×', 'Water_½×', 'Grass_½×', 'Electric_½×', 'Psychic_½×']"
 #001, #252,Treecko,Grass,Null,https://bulbapedia.bulbagarden.net//wiki/Treecko_(Pok%C3%A9mon),40,45,35,65,55,70,"['Normal_1×', 'Fighting_1×', 'Rock_1×', 'Ghost_1×', 'Steel_1×', 'Psychic_1×', 'Dragon_1×', 'Dark_1×', 'Fairy_1×']","['Flying_2×', 'Poison_2×', 'Bug_2×', 'Fire_2×', 'Ice_2×']",['None'],"['Ground_½×', 'Water_½×', 'Grass_½×', 'Electric_½×']"
